13,4,4,0,17,5,5,0,22,6,6,0,22,6,8,0,15,3,7,0,16,4,6,0,16,8,7,0,19,7,5,0,20,5,6,0,21,5,8,0,12,6,4,0,37,16,5,0,20,9,6,0,39,16,6,0,29,11,6,0,79,24,7,0,22,6,8,0,23,5,9,0,23,9,6,0,2,1,0,0,0,0,0,0,0
16,3,7,0,17,3,4,0,20,4,6,0,22,5,7,0,14,3,5,0,17,3,5,0,12,6,5,0,15,7,6,0,17,3,6,0,18,4,7,0,9,5,6,0,15,9,4,0,12,6,5,0,16,8,6,0,34,9,6,0,75,20,7,0,22,5,7,0,22,4,9,0,11,5,7,0,6,1,3,0,0,0,0,0,1
4,2,4,0,5,3,6,0,6,4,6,0,6,4,7,0,3,2,3,0,3,2,4,0,3,3,4,1,4,3,4,0,6,4,7,0,6,4,6,0,2,2,2,0,4,1,2,0,7,4,5,0,13,5,5,0,17,6,4,0,19,6,4,0,7,4,7,0,7,5,8,0,12,5,9,0,0,0,0,0,0,0,0,0,0
6,2,16,0,6,2,13,0,6,2,14,0,6,3,12,0,4,2,10,0,4,2,8,0,4,3,7,0,3,3,5,0,5,3,9,0,5,3,7,0,3,2,4,0,5,3,2,0,6,3,7,0,13,6,10,0,10,5,7,0,18,8,24,0,7,3,20,0,6,3,9,0,10,5,9,0,2,1,3,0,0,0,0,0,1
7,7,3,2,28,10,12,0,11,5,6,0,9,3,4,0,6,6,2,1,8,4,4,1,11,4,5,0,10,3,4,0,11,4,5,0,12,4,6,0,9,4,3,0,10,3,4,0,14,6,5,0,17,6,5,0,31,14,6,0,34,12,7,0,10,5,6,0,13,4,7,0,16,6,5,0,1,0,0,0,0,0,0,0,0
3,5,2,1,13,6,7,1,6,3,3,0,5,2,3,0,4,5,2,1,5,2,3,0,7,4,3,0,7,3,2,0,9,4,4,0,10,4,5,0,6,5,2,0,7,4,2,0,11,9,3,0,13,8,4,0,18,25,3,0,23,19,3,0,6,3,4,0,11,4,5,0,14,8,3,0,6,1,1,0,0,0,0,0,1
12,1,5,0,13,1,4,0,23,2,8,0,24,2,9,0,11,1,4,0,12,1,5,0,16,1,4,0,15,1,5,0,28,2,12,0,28,2,8,0,18,1,3,0,31,2,4,0,49,3,12,0,49,3,8,0,78,4,8,0,58,4,10,0,25,2,8,0,36,3,27,0,68,3,12,0,3,0,1,0,0,0,0,0,0
3,0,3,0,3,0,2,0,5,0,4,0,5,1,4,0,3,0,2,0,2,0,2,0,3,0,2,0,4,0,3,0,8,1,5,0,10,1,6,0,3,0,2,0,20,2,9,0,9,1,6,0,11,1,3,0,12,1,7,0,17,4,6,0,6,1,4,0,9,1,4,0,18,1,8,0,7,1,4,0,0,0,0,0,1
7,3,11,0,8,4,12,0,13,6,17,0,13,7,17,0,6,3,10,0,9,4,12,0,14,5,14,0,14,4,10,0,25,5,15,0,23,6,16,0,12,3,9,0,20,4,11,0,38,6,17,0,40,6,13,0,41,7,13,0,37,8,15,0,12,6,18,0,22,5,15,0,39,6,12,0,1,0,1,0,0,0,0,0,0
7,4,9,0,6,5,13,0,7,6,17,0,8,7,17,0,4,2,7,0,6,5,13,0,6,3,8,0,9,6,12,0,12,7,13,0,12,7,16,0,5,3,6,0,14,5,9,0,16,7,20,0,18,6,11,0,14,7,9,0,17,7,9,0,7,7,20,0,10,7,15,0,13,5,9,0,0,0,1,0,0,0,0,0,1
